BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by J. Sikar Realty,Condo for sale,615000,3,2.0,1165.0,501 Surf Ave Apt 18F,"Brooklyn, NY 11224","501 Surf Ave Apt 18FBrooklyn, NY 11224",Kings County,Brooklyn,Coney Island,Surf Avenue,Brightwater Towers East,"Brightwater Towers East, 501 Surf Ave #18f, Brooklyn, NY 11224, USA",40.5755355,-73.9735905
Brokered by J. Sikar Realty,Condo for sale,429000,1,1.0,640.0,501 Surf Ave Apt 9D,"Brooklyn, NY 11224","501 Surf Ave Apt 9DBrooklyn, NY 11224",Kings County,Brooklyn,Coney Island,Surf Avenue,Brightwater Towers East,"Brightwater Towers East, 501 Surf Ave #9d, Brooklyn, NY 11224, USA",40.5755355,-73.9735905
"Brokered by MAXIMILLION REALTY, INC.",Condo for sale,490000,1,1.0,730.0,501 Surf Ave Apt 2N,"Brooklyn, NY 11224","501 Surf Ave Apt 2NBrooklyn, NY 11224",Kings County,Brooklyn,Coney Island,Surf Avenue,Brightwater Towers East,"Brightwater Towers East, 501 Surf Ave #2n, Brooklyn, NY 11224, USA",40.5755355,-73.9735905
