BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,429000,2,2.0,1450.0,3515 Henry Hudson Pkwy Apt 3D,"Bronx, NY 10463","3515 Henry Hudson Pkwy Apt 3DBronx, NY 10463",Bronx County,The Bronx,Riverdale,Henry Hudson Parkway,The Briarcliff,"The Briarcliff, 3515 Henry Hudson Pkwy #3d, Bronx, NY 10463, USA",40.8868607,-73.9129726
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,429000,2,2.0,1450.0,3515 Henry Hudson Pkwy Apt 3D,"Bronx, NY 10463","3515 Henry Hudson Pkwy Apt 3DBronx, NY 10463",Bronx County,The Bronx,Riverdale,Henry Hudson Parkway,The Briarcliff,"The Briarcliff, 3515 Henry Hudson Pkwy #3d, Bronx, NY 10463, USA",40.8868607,-73.9129726
Brokered by BESMATCH REAL ESTATE,Co-op for sale,235000,1,1.0,850.0,3512 Oxford Ave Apt 1B,"Bronx, NY 10463","3512 Oxford Ave Apt 1BBronx, NY 10463",Bronx County,The Bronx,Riverdale,Oxford Avenue,Parking lot,"Parking lot, 3512 Oxford Ave #1b, Bronx, NY 10463, USA",40.8858375,-73.9088586
Brokered by TREBACH REALTY INC,Co-op for sale,295000,2,1.0,2184.207862,3512 Oxford Ave Apt 1E,"Bronx, NY 10463","3512 Oxford Ave Apt 1EBronx, NY 10463",Bronx County,The Bronx,Riverdale,Oxford Avenue,Parking lot,"Parking lot, 3512 Oxford Ave #1e, Bronx, NY 10463, USA",40.8858375,-73.9088586
